Epoch,Train Loss,Validation Accuracy
1,1.6361735741297403,0.291951604418727
2,0.8768420418103536,0.3503419253024724
3,0.4837374905745188,0.6091530773277223
4,0.3139630009730657,0.7943187795896897
5,0.19035566945870716,0.864281956864808
6,0.12216745764017105,0.917937927406628
7,0.1067377851655086,0.8895318253550762
8,0.11080691665410995,0.8779589689637033
9,0.1027820311486721,0.8663861125723303
10,0.12317486157019933,0.8805891635981062
11,0.1181001270810763,0.8663861125723303
12,0.07365863000353177,0.8784850078905839
13,0.055792197088400525,0.8711204629142556
14,0.07892818314333756,0.9752761704366123
15,0.03177529933551947,0.9784324039978959
16,0.06699848504116138,0.8169384534455549
17,0.0559455477943023,0.9105733824302998
18,0.06069259693225225,0.9079431877958969
19,0.03536592839906613,0.9768542872172541
20,0.021011429264520605,0.9658074697527617
21,0.013095993952204784,0.9058390320883746
22,0.025512265289823213,0.8879537085744345
23,0.033199046086519954,0.9100473435034192
24,0.014994348740826051,0.9679116254602841
25,0.016575996236254772,0.9900052603892688
26,0.013304714501524964,0.9847448711204629
27,0.016529000146935383,0.9879011046817464
28,0.013437891332432627,0.9500263019463441
29,0.00722129949911808,0.9694897422409259
30,0.0032364355710645517,0.9305628616517623
31,0.004692605168869098,0.9842188321935823
32,0.009607169835362583,0.9957916885849553
33,0.008611513235761474,0.9863229879011047
34,0.022059247623352953,0.9368753287743293
35,0.02859508308271567,0.9584429247764334
36,0.029594375286251307,0.8700683850604944
37,0.026790469403689107,0.7390846922672277
38,0.022887014131993056,0.8837453971593898
39,0.03332489674600462,0.9084692267227775
40,0.04615658093243837,0.9600210415570752
41,0.020166550545642772,0.9779063650710152
42,0.019953793038924535,0.9300368227248816
43,0.04052908553276211,0.8179905312993162
44,0.03954749517142773,0.923198316675434
45,0.020377985698481402,0.9758022093634929
46,0.014909594164540371,0.9284587059442398
47,0.006322288229906311,0.99105733824303
48,0.007095018568603942,0.9537085744345082
49,0.00415421937747548,0.9952656496580747
50,0.002554679683332021,0.9805365597054182
51,0.003929652341563876,0.9600210415570752
52,0.011849698498068998,0.9016307206733298
53,0.010549287443670135,0.9484481851657023
54,0.026319894361464927,0.8942661756970016
55,0.02974179604401191,0.9368753287743293
56,0.034632817609235644,0.7538137822198843
57,0.034339786320924756,0.9431877958968964
58,0.026042660675011577,0.8990005260389269
59,0.09593758837630352,0.8521830615465544
60,0.050673580293854076,0.9363492898474487
61,0.05754241452862819,0.900052603892688
62,0.029833917257686457,0.8863755917937928
63,0.02882199805850784,0.9037348763808521
64,0.041994055197574195,0.9147816938453446
65,0.03585610692389309,0.9458179905312993
66,0.013455432110155622,0.9926354550236718
67,0.009229578225252529,0.9374013677012099
68,0.005040969400821874,0.9610731194108364
69,0.002677014753377686,0.9957916885849553
70,0.0016572828511319433,0.9968437664387164
71,0.00191544786018009,0.9957916885849553
72,0.0009166156339536732,0.9968437664387164
73,0.0014469538854124644,0.9968437664387164
74,0.000837491968801866,0.9989479221462388
75,0.0013126593388733455,0.9984218832193582
76,0.0007834599993657321,0.9957916885849553
77,0.0009007980455256378,0.9957916885849553
78,0.0005977359862299636,0.9984218832193582
79,0.0006609378411667422,0.9989479221462388
80,0.0004894006002966004,0.9978958442924777
81,0.0004390153146232478,0.9989479221462388
82,0.00043689220231802516,1.0
83,0.0015136239938631964,0.9721199368753288
84,0.00811515758978203,0.9942135718043135
85,0.006420100922696292,0.9805365597054182
86,0.0019427464634645731,0.9889531825355077
87,0.004878835552760089,0.9952656496580747
88,0.009133268398970055,0.9879011046817464
89,0.007585261603041241,0.9810625986322988
