Model,Accuracy,Recall,F1-Score
ResNet50,0.8116402116402116,0.8301264082295441,0.8233233024127231
ResNeXt-50,0.744973544973545,0.7857005329775819,0.7435850196775663
WideResNet-50,0.7481481481481481,0.7772501018980279,0.7400510909897021
MobileNetv2,0.6338624338624339,0.667103145168175,0.6287827560036218
