Model,Accuracy,Recall,F1-Score
ResNet50,0.8307475317348378,0.7888332222345119,0.8193457050668985
ResNeXt-50,0.9936530324400564,0.9954320001926952,0.9951070975048497
WideResNet-50,0.8483779971791255,0.8766648141365394,0.8770791806560843
MobileNetv2,0.9291255289139634,0.9286703099874315,0.9279616531751665
