Epoch,Train Loss,Validation Accuracy
1,2.086151272058487,0.14848883048620237
2,1.587180346250534,0.316688567674113
3,1.3691427409648895,0.2614980289093298
4,1.1115291714668274,0.2956636005256242
5,0.9203240275382996,0.29172141918528255
6,0.7792778164148331,0.29303547963206306
7,0.7018459588289261,0.37056504599211565
8,0.6253807842731476,0.38896189224704336
9,0.5442780405282974,0.46780551905387646
10,0.37667490541934967,0.4835742444152431
11,0.40483731031417847,0.6399474375821288
12,0.3298507332801819,0.6911957950065704
13,0.26754723116755486,0.7477003942181341
14,0.2169191874563694,0.7989487516425755
15,0.17767314612865448,0.8396846254927727
16,0.1313243918120861,0.8541392904073587
17,0.10269793681800365,0.8751642575558476
18,0.0836281618103385,0.8607095926412615
19,0.05355991702526808,0.8777923784494087
20,0.04064239887520671,0.8804204993429697
21,0.06371099036186934,0.8948751642575559
22,0.040022716857492924,0.8751642575558476
23,0.021361635997891426,0.8567674113009198
24,0.02016338729299605,0.8646517739816032
25,0.03986828378401697,0.871222076215506
26,0.02294429880566895,0.8843626806833115
27,0.061372825875878334,0.8830486202365309
28,0.039082454051822424,0.8699080157687253
29,0.021783787407912314,0.8883048620236531
30,0.036792391911149025,0.8475689881734559
31,0.03487617871724069,0.8672798948751642
32,0.01919175125658512,0.859395532194481
33,0.0228058323264122,0.8672798948751642
34,0.012418929720297456,0.8935611038107752
35,0.015447728103026748,0.8646517739816032
36,0.0075530147878453135,0.8672798948751642
37,0.009985927026718855,0.8764783180026281
38,0.01116521516814828,0.8475689881734559
39,0.020838595693930984,0.897503285151117
40,0.06237259740009904,0.8646517739816032
41,0.03945639787707478,0.8804204993429697
42,0.02870917972177267,0.8685939553219448
43,0.04068673844449222,0.8488830486202366
44,0.036597385071218014,0.8370565045992115
45,0.02141846832819283,0.7700394218134035
46,0.02907116455025971,0.7582128777923784
47,0.030795700615271926,0.8659658344283837
48,0.0216285107890144,0.9040735873850198
49,0.013223374029621482,0.9132720105124835
50,0.005237262928858399,0.8515111695137977
51,0.00954197603277862,0.8646517739816032
52,0.0034078789176419377,0.9145860709592641
53,0.006627950584515929,0.9159001314060446
54,0.00511267117690295,0.9067017082785808
55,0.006347081856802106,0.9093298291721419
56,0.0024059078423306346,0.9159001314060446
57,0.002299596060765907,0.923784494086728
58,0.0017986593884415925,0.9250985545335085
59,0.0023054925550241023,0.9277266754270697
60,0.001682465270278044,0.9250985545335085
61,0.002061176026472822,0.9224704336399474
62,0.0013438111636787653,0.923784494086728
63,0.0022124266397440806,0.9211563731931669
64,0.002131335830199532,0.9172141918528253
65,0.0013268620969029143,0.9159001314060446
66,0.0008657318248879164,0.9172141918528253
67,0.000803985312813893,0.9224704336399474
68,0.0007566004351247102,0.9224704336399474
69,0.0016244615544565022,0.926412614980289
70,0.0004402215126901865,0.9277266754270697
71,0.002782928728265688,0.926412614980289
72,0.0003883163517457433,0.9277266754270697
73,0.001228511544468347,0.9303547963206308
74,0.001127412891946733,0.9250985545335085
75,0.006577363674296066,0.9290407358738502
76,0.0007651444611838087,0.9342969776609724
77,0.0010098059428855777,0.9277266754270697
78,0.0010895749292103574,0.9250985545335085
79,0.0017144570010714233,0.923784494086728
80,0.0010039211847470142,0.9211563731931669
81,0.0013237968050816562,0.923784494086728
82,0.0007029657208477147,0.9211563731931669
83,0.00046658127394039184,0.9250985545335085
84,0.00033268525658058934,0.926412614980289
85,0.0004967496570316143,0.9303547963206308
86,0.0016995807891362347,0.9316688567674113
87,0.000823143040179275,0.9303547963206308
88,0.0005361789371818304,0.923784494086728
89,0.0006437756092054769,0.923784494086728
90,0.0005331755965016782,0.923784494086728
91,0.0004898569350189064,0.9250985545335085
92,0.00038197719550225884,0.926412614980289
93,0.0002371256450715009,0.926412614980289
94,0.000460511953860987,0.9277266754270697
95,0.0003064548582187854,0.926412614980289
96,0.00033669859112706035,0.9277266754270697
97,0.00026518638696870767,0.9250985545335085
98,0.00023118042372516356,0.9250985545335085
99,0.0001981206369237043,0.9250985545335085
100,0.0003846238978439942,0.923784494086728
101,0.00025153350361506455,0.923784494086728
102,0.0002395244810031727,0.9250985545335085
103,0.0003569154978322331,0.9250985545335085
104,0.00034245577262481675,0.9250985545335085
105,0.00023526576478616334,0.923784494086728
106,0.0004779216760653071,0.9224704336399474
107,0.00026292967959307134,0.9224704336399474
108,0.00048216843788395636,0.9224704336399474
109,0.00030681491989525966,0.9250985545335085
110,0.0002239034729427658,0.9250985545335085
111,0.0003605540332500823,0.9250985545335085
112,0.0005391903832787648,0.926412614980289
113,0.00030085469370533247,0.9290407358738502
114,0.00045913457142887637,0.9303547963206308
115,0.00022268580141826533,0.9290407358738502
116,0.0002841373843693873,0.9290407358738502
117,0.00044314152182778344,0.9290407358738502
118,0.00016060888083302416,0.9277266754270697
119,0.00018783167251967825,0.926412614980289
120,0.0003398390472284518,0.9224704336399474
121,0.00022178280414664187,0.923784494086728
122,0.0001998634761548601,0.9224704336399474
123,0.00016609367412456777,0.9224704336399474
124,0.0001432814278814476,0.9211563731931669
125,0.00012397141654219013,0.9211563731931669
126,0.00019789006910286844,0.9224704336399474
127,0.0001528346383565804,0.9224704336399474
128,0.00011859157893923111,0.9224704336399474
129,0.00011886009451700374,0.9224704336399474
130,0.00033096889637818094,0.9224704336399474
131,0.00020038994625792839,0.923784494086728
132,0.0002474485336279031,0.9250985545335085
133,0.00018497072414902505,0.923784494086728
134,0.002279573120176792,0.9250985545335085
135,0.00018829278633347712,0.9250985545335085
136,0.00024223648142651655,0.9250985545335085
137,0.0013688721592188813,0.9145860709592641
138,0.0005959594691375969,0.9159001314060446
139,0.00016745847642596345,0.9185282522996058
140,0.00020407991905813105,0.923784494086728
141,0.00023050095842336304,0.923784494086728
142,0.0002905946021201089,0.9250985545335085
143,0.0002462789161654655,0.926412614980289
144,0.00022167983843246475,0.923784494086728
145,0.00016470844275318086,0.9250985545335085
146,0.000156790716573596,0.9250985545335085
147,0.00017827505871537142,0.9250985545335085
148,0.0001401464942318853,0.926412614980289
149,0.0001306773629039526,0.926412614980289
150,0.0003473570686765015,0.926412614980289
151,0.00022513569274451584,0.926412614980289
152,0.0002283402209286578,0.926412614980289
153,0.00021585857393802144,0.926412614980289
154,0.0001819012268242659,0.9290407358738502
155,9.719703666632995e-05,0.9277266754270697
156,0.0006086154016884393,0.9290407358738502
157,0.0001432346471119672,0.9290407358738502
158,0.00010458257111167768,0.9303547963206308
159,0.00021949646907160059,0.9316688567674113
160,0.00023054446228343295,0.9303547963206308
161,0.00012762490041495766,0.9290407358738502
162,9.555680662742816e-05,0.9303547963206308
163,0.00013684850455319975,0.9316688567674113
164,0.00014595649190596305,0.9290407358738502
165,0.0007346774473262485,0.9277266754270697
166,0.00019134559352096403,0.9250985545335085
167,0.002106683232341311,0.9329829172141918
168,0.0005596520859398879,0.9316688567674113
169,0.0008020181921892799,0.926412614980289
170,0.0011377072169125313,0.9277266754270697
171,0.00039281212593778037,0.9211563731931669
172,0.00029646888469869737,0.9250985545335085
173,0.00017698363444651477,0.9211563731931669
174,0.0001061484827005188,0.9198423127463863
175,0.00018052754785458092,0.923784494086728
176,0.0010661569722287823,0.926412614980289
177,0.0001711070890451083,0.9290407358738502
178,0.0002320067205801024,0.9290407358738502
179,0.00018596459540276555,0.9316688567674113
180,0.00015144406097533647,0.9303547963206308
181,0.0002084752450173255,0.9277266754270697
182,0.00028660305906669237,0.926412614980289
183,0.0001892745294753695,0.9290407358738502
184,0.00034231527206429746,0.9329829172141918
185,0.00018435843048791867,0.9356110381077529
186,0.00014545536578225438,0.9356110381077529
187,0.0001164757959486451,0.9356110381077529
188,0.0004183172568446025,0.9342969776609724
189,0.00011481800356705207,0.9329829172141918
190,0.000232434907957213,0.9342969776609724
191,0.0005698871527783922,0.9316688567674113
192,0.00027064290406997316,0.9342969776609724
193,0.000325805685861269,0.9356110381077529
194,5.898439485463314e-05,0.9303547963206308
195,0.0001211683247674955,0.9316688567674113
196,0.00021696296425943729,0.9329829172141918
