Model,Fold,Accuracy,Recall,F1-Score
ResNet50,1,0.9628807106598984,0.9639087927068595,0.964207903611856
ResNet50,2,0.9762055837563451,0.9731178253461549,0.9760827877423764
ResNet50,3,0.9733502538071066,0.9730842360243701,0.9755788588470833
ResNeXt-50,1,0.938769035532995,0.9477816931904645,0.9449748505605873
ResNeXt-50,2,0.8597715736040609,0.8975241996517825,0.8935647560559598
ResNeXt-50,3,0.9501903553299492,0.9601411623651898,0.9590701543752979
WideResNet-50,1,0.9171954314720813,0.9322887230090097,0.920728034848165
WideResNet-50,2,0.9133883248730964,0.93859684120912,0.9199845083103322
WideResNet-50,3,0.9749365482233503,0.9762543356564526,0.9771059762966964
MobileNetv2,1,0.9130710659898477,0.9173230643264678,0.9203490510068374
MobileNetv2,2,0.8210659898477157,0.8503730293606283,0.8436483900950804
MobileNetv2,3,0.9121192893401016,0.9020822896705051,0.9061578783417288
