Model,Fold,Accuracy,Recall,F1-Score
ResNet50,1,0.408983451536643,0.43398608243650144,0.4033910889483538
ResNet50,2,0.7369668246445498,0.7104828983382184,0.6973307265286335
ResNet50,3,0.8222748815165877,0.8210292377641413,0.8102216101621315
ResNeXt-50,1,0.7801418439716312,0.7862759098689237,0.7609975671502375
ResNeXt-50,2,0.9383886255924171,0.8994719038032238,0.9054025717639282
ResNeXt-50,3,0.6824644549763034,0.6266422053403125,0.632106635566063
WideResNet-50,1,0.7399527186761229,0.6970508860406559,0.6825542964787246
WideResNet-50,2,0.6943127962085308,0.6857601992605161,0.6841091328289715
WideResNet-50,3,0.8033175355450237,0.7408492527306954,0.7236056422124421
MobileNetv2,1,0.8156028368794326,0.7973820214565941,0.8017187200506959
MobileNetv2,2,0.8388625592417062,0.8266013842241817,0.8002953592643955
MobileNetv2,3,0.8672985781990521,0.8184605033982443,0.8166167430871539
